Título,Autores,Colaborador,Técnica,Medidas,Año,Ubicación,Fotografía
Saturnino-Moon,"Miguel Fernando Lima Rodríguez, Pamela Sánchez Hernández",Xally Domínguez Ahuatl ,Acrílico sobre muro,2.46 x 3.8m,2024,ARPA 3 descanso escaleras primer piso,
Metamorfosis Marina,Vanessa Flores “Flores en el Mar”,José Ángel Jiménez Cuaquentzi,Pintura vinílica sobre muro,5 m x 4.30 m,2024,ARPA 3 muro escaleras planta baja,
Cansancio Colectivo,"Tania Sánchez “Tania de Cartón”, Coco Quiroz, Jorge Medina","Vanessa Cano, Belén Flores",Pintura vinílica sobre muro,6.19 x 2.55 m,2024,ARPA 3 muro exterior taller 103,
Naturaleza Híbrida,Alejandro Teutli,"Ana Lizbeth Fuentes Calderón, Daniel Contreras Durán, Maryel Vázquez Fuentes, Josefina Domínguez de la Cruz, María Fernanda Pantoja Velásquez",Acrílico sobre muro,4.50 x 3 m,2024,ARPA 3 muro exterior planta baja,
"¡Viva, Viva! ",Vanessa Flores Carillo,Tania Alejandra Sánchez Hernández,Pintura Acrílica sobre muro ,2.2 x 2.80 m,2024,ARPA 3 muro exterior planta baja,
Asientos Preferentes,"Juliette Hernández, Pau Artem, Ricardo Meza Mora, Caro Achebe, Jukari Pedraza, Angelina Monroy, Vanna Torres, Tania Alavez, Julia Flores, Alfredo Márquez Specia",,Acrílico sobre muro,4.39 x 2.79 m,2024,ARPA 3 muro exterior planta baja,
Cumbia te voy a olvidar,"Nohemí Flores, Margarita Morales Hernández, Estefanía Castillo Lemus, Berenice Alejandra Palomino Gómez, Mariana Sosa Sánchez, María Fernanda Daniela González Cruz, Milagros Guevara Badillo, Fernanda Cortés Rivadeneira",,Acrílico sobre muro,4.41 x 2.82 m,2024,ARPA 3 muro exterior planta baja,
La Rebeldía del Bohemio  ,"José Ángel Dinamares Barrales, Magda Karina Contreras Marín (coautora)","Ixchel Sepúlveda Flores, Edgar Uriel Vega Tapia, Mateo Pineda Calerón, César Said Rojas Aquino",, 3.40 x 2.45 m,2025,ARPA 3 Sala “Alice Guy”  ,
Impulso Humano Creador ,Miguel Fernando Lima Rodríguez,Maryel Vázquez Fuentes,Acrílico sobre muro,,2025,Sur 1 descanso primer piso,
¡Eternamente 19! Mural conmemorativo,"Ingrid Coca Páez, Diana Reyes Vansteengerghe","Abigail Pani Palacios, Nayeli Morales Ramírez, Alan Josué Vite Torres, Ana Lizbeth Fuentes Calderón",Vinil sobre muro,4.40 x 2.80 m,2024,ARPA 3 muro exterior,
"De los Cimientos, Crecerás","Brenda Romero Ramírez, Camila Esquivel Álvarez, Ruth Rocha Monterrosas, Azucena Leticia Gómez Rodríguez ",,Acrílico sobre muro,"3.20 x 5.45 m
",2025,Acceso del edificio Multiaulas 1 CCU ,
Mil Voces ,"Alheli Regina Rodríguez Palestino, Ana Karen Fernando Morales, Gabriela del Carmen Fraga Ruiz, Andrés Aburto Ramírez, Samara Jasem Abundez Ortiz ",,Acrílico sobre muro,3.20 x 5.45 m,2024,Acceso del edificio Multiaulas 1 CCU ,
ARPA OG (Original Grafitti),Diego Iván Martínez Marín,,Pintura en aerosol sobre muro,2.80 x 2.60 m,2025,Exterior Aula 204 ARPA 3,
El Performance ,"Nayeli Morales Ramírez, Alan Josué Vite Torres ",,Acrílico sobre muro,7.44 x 2.95 m,2025,Aula 201 ARPA 3 ,
Mujeres Olvidadas en la Historia del Arte ,"Daniela Toral Marroquín, Mtro. José Lazcarro ",,Acrílico sobre muro,6.19  x 2.55 m ,2025,ARPA 3 muro exterior planta baja,
Toda la Energía al Corazón ,Aby White ,,Acrílico sobre muro ,1.40 x 1.40 m ,2017,"Cubículo Dirección 115, SUR 1 ",
Confía ,Vanessa Flores Carillo ,,Acrílico sobre muro ,3.4 x 2.98 m ,2023,Sala de espera SUR 1 ,
Lazo,"Nayerli Gaspariano Baez, Óscar Sergio Gutiérrez Hernández, José Ángel Jiménez Cuaquentzi ",,Acrílica sobre muro ,2.00 x 3.60 m ,2024,Sala de Lactancia EMA 1 ,
Origen ,"César Cepeda, Daniela Paola Romero, Tanya F. Meléndez ",,Vinil sobre muro ,3.98 x 2.67 m ,2023,Instituto de Ciencias CU ,
Mi corazón está lleno de huellas  ,"Belén Salas Santiago, Vanessa Flores Carillo, Allison Peralta Sánchez ",,Vinil sobre muro ,5.7 x 2.8 m,2022,Centro de Apoyo Emocional (CAETO) CU ,
Historia de la Radio y TV BUAP ,Nayeli Gaspariano Báez ,,Vinil sobre muro,2.91 x 3.65 m,2021,Dirección de Radio y TV BUAP ,
CCU 15 años de Arte y Cultura ,"Nayeli Gaspariano Báez, José Ángel Jiménez Cuaquentzi, Óscar Sergio Gutiérrez Hernández ","Pamela Sánchez Hernández, Jaret Aramis Reyes Coatl, Miguel Fernando Lima Rodríguez, Alan Alcázar Roque, Isabella Torres Rodríguez, José María Nava Jiménez, Karen Bravo de Sampedro ,Frida Vásquez Benítez ",Acrílico sobre muro ,8.85 x 3.4 x 0.5 m ,2023,Exterior CCU ,
Las Hadas,Camila Ocotoxtle Ortiz,"Mateo Pineda Calderón
Yoltic Álvarez Villafañe
Zuzet Maya Hernández Sedeño 
Luis Roberto Moreno Cortés 
Azul Amanda Ramírez Castillo
Carlos Andrés Carreón Espinoza",Acrílico sobre muro ,3.60 x 394 m,2025,Exterior arpa 1,
El lobo,,"Camila Ocotoxtle Ortiz
David Flores Sánchez 
Sofia Jiménez Rojas",Acrílico sobre muro ,1.30 x 3.26 m,2025,Exterior arpa 1,
